element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,1,"=""10332.329""","=""0.003""","=""10332.3273""","=""0.0015""","=""51""","=""""",,"=""3.63521992""","=""4.83485507""","=""3d6.4s2""","=""b 3D""","=""1""","=""3d7.(4F).4p""","=""y 3D*""","=""1""",,"=""""","=""L11631""",
Ar,1,"=""10332.72""","=""0.10""","=""""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2131""",
Fe,2,"=""10332.928""","=""0.003""","=""10332.9285""","=""0.0012""","=""6""","=""6.7e+04""",D+,"=""6.72907574""","=""7.9286411""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d6.(3F2).4p""","=""y 4G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""10333.182""","=""0.021""","=""10333.1838""","=""0.0015""","=""85bl""","=""""",,"=""4.59311043""","=""5.79264615""","=""3d7.(2F).4s""","=""d 3F""","=""4""","=""3d7.(4P).4p""","=""u 5D*""","=""4""",,"=""""","=""L11631""",
Hg,1,"=""10334.1""","=""0.4""","=""10333.92""","=""0.21""","=""1""","=""""",,"=""8.8563376""","=""10.055788""","=""5d10.6s.6d""","=""3D""","=""3""","=""5d10.6s.7f""","=""3F*""","=""3""",,"=""""","=""L7592c86""",
Th,1,"=""10334.9243""","=""0.0004""","=""10334.92419""","=""0.00009""","=""180""","=""""",,"=""1.716904709""","=""2.916238418""","=""6d3.(4F).7s""","=""3F""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Fe,2,"=""10335.031""","=""0.002""","=""10335.0168""","=""0.0015""","=""2.1""","=""""",,"=""12.8245941""","=""14.0239170""","=""3d6.(5D<3>).4f""","=""2[1]*""","=""1/2""","=""3d6.(5D<4>).5g""","=""2[0]""","=""1/2""",,"=""""","=""L18349c139""",
Fe,1,"=""10336.342""","=""0.009""","=""10336.338""","=""0.003""","=""6""","=""""",,"=""6.06634697""","=""7.2655167""","=""3d7.(4F).5s""","=""e 3F""","=""2""","=""3d6.(3H).4s.4p.(1P*)""","=""3G*""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""10337.410""","=""0.004""","=""10337.4246""","=""0.0011""","=""1.1""","=""""",,"=""12.8182037""","=""14.0172473""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""7/2""","=""3d6.(5D<4>).5g""","=""2[4]""","=""9/2""",,"=""""","=""L18349c139""",
Ti,1,"=""10338.502""","=""0.013""","=""10338.498""","=""0.004""","=""11""","=""""",,"=""3.7159411""","=""4.91486021""","=""3d2.(1G).4s.4p.(3P*)""","=""x 3G*""","=""4""","=""3d3.(4F).5s""","=""f 3F""","=""3""",,"=""""","=""L10989""",
Fe,2,"=""10339.649""","=""0.003""","=""10339.6569""","=""0.0007""","=""1.5""","=""""",,"=""12.9178370""","=""14.1166218""","=""3d6.(3H).4d""","=""4F""","=""3/2""","=""3d6.(5D<1>).5f""","=""2[2]*""","=""3/2""",,"=""""","=""L18349c139""",
Fe,1,"=""10340.886""","=""0.003""","=""10340.8847""","=""0.0015""","=""468""","=""""",,"=""2.19786640""","=""3.39650880""","=""3d7.(4P).4s""","=""a 5P""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""10342.0020""","=""0.0020""","=""10342.0005""","=""0.0009""","=""2.2""","=""""",,"=""12.8207506""","=""14.0192637""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""5/2""","=""3d6.(5D<4>).5g""","=""2[3]""","=""7/2""",,"=""""","=""L18349c139""",
Hf,1,"=""10342.55""","=""0.05""","=""10342.566""","=""0.006""","=""110""","=""""",,"=""3.1345490""","=""4.33299665""","=""5d3.(b 4F).6s""","=""b 3F""","=""3""","=""5d2.(a 3P).6s.(a 4P).6p""","=""x 3D*""","=""2""",,"=""""","=""L16323""",
Cu,2,"=""10343.469""","=""0.010""","=""10343.472""","=""0.003""","=""6100""","=""1.17e+07""",C+,"=""16.9166293""","=""18.11497188""","=""3d8.(3F).4s.4p.(1P*)""","=""3F*""","=""3""","=""3d9.(2D<5/2>).5g""","=""2[9/2]""","=""4""",,"=""T9697""","=""L869c171""",
Ca,1,"=""10343.81""","=""0.10""","=""""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L6097""",
Th,1,"=""10344.2810""","=""0.0005""","=""10344.28144""","=""0.00024""","=""100""","=""""",,"=""3.358046648""","=""4.55629546""","=""""","=""*""","=""6""","=""""","=""""","=""6""",,"=""""","=""L5951""",
Fe,1,"=""10345.184""","=""0.003""","=""10345.175""","=""0.008""","=""81""","=""""",,"=""6.16536100""","=""7.3635064""","=""3d7.(2G).4p""","=""y 3H*""","=""4""","=""""","=""59390e""","=""3""",,"=""""","=""L11631""",
Th,1,"=""10345.8974""","=""0.0011""","=""10345.89685""","=""0.00018""","=""41""","=""""",,"=""2.157126090""","=""3.35518781""","=""6d3.(4F).7s""","=""""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
Th,1,"=""10346.5361""","=""0.0003""","=""10346.53640""","=""0.00016""","=""250""","=""""",,"=""1.966871474""","=""3.164859140""","=""6d3.(2D2).7s""","=""""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L5951""",
W,1,"=""10347.27""","=""0.10""","=""10347.353""","=""0.118""","=""3""","=""5.7e+04""",E,"=""2.246202""","=""3.444095""","=""5d5.(4G).6s""","=""5G""","=""2""","=""5d4.6s.(6D).6p""","=""5D*""","=""1""",,"=""T4976""","=""L153""",
Fe,1,"=""10347.966""","=""0.003""","=""10347.9652""","=""0.0015""","=""347""","=""""",,"=""5.39325126""","=""6.59107351""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""4""","=""3d7.(4F).4d""","=""f 5P""","=""3""",,"=""""","=""L11631""",
Ba,1,"=""10348.668""","=""0.010""","=""10348.670+""","=""0.015""","=""6""","=""""",,"=""3.2181982""","=""4.4159389""","=""5d.6p""","=""3P*""","=""2""","=""6s.7d""","=""3D""","=""2""",,"=""""","=""L9224""",
Th,1,"=""10349.04772""","=""0.00014""","=""10349.04773""","=""0.00007""","=""1200""","=""""",,"=""1.592945153""","=""2.790642114""","=""6d3.(4P).7s""","=""5P""","=""3""","=""6d2.7s.7p""","=""5P*""","=""2""",,"=""""","=""L5951""",
Th,1,"=""10350.3301""","=""0.0006""","=""10350.33042""","=""0.00011""","=""87""","=""""",,"=""2.307883790""","=""3.505432323""","=""6d2.7s.7p""","=""5D*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L5951""",
Fe,2,"=""10350.9056""","=""0.0006""","=""10350.9030""","=""0.0005""","=""10""","=""""",,"=""12.0893786""","=""13.2868609""","=""3d6.(3P2).5s""","=""4P""","=""5/2""","=""3d6.(5D).6p""","=""4F*""","=""7/2""",,"=""""","=""L18349c139""",
Cm,1,"=""10351.73""","=""0.10""","=""""","=""""","=""10000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3587""",
Fe,2,"=""10352.9330""","=""0.0007""","=""10352.9279""","=""0.0005""","=""8""","=""""",,"=""12.0893786""","=""13.2866266""","=""3d6.(3P2).5s""","=""4P""","=""5/2""","=""3d6.(5D).6p""","=""4P*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,1,"=""10353.806""","=""0.003""","=""10353.8039""","=""0.0015""","=""182""","=""""",,"=""5.39325126""","=""6.59039805""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""4""","=""3d7.(4F).4d""","=""h 5D""","=""4""",,"=""""","=""L11631""",
Th,2,"=""10355.8042""","=""0.0013""","=""10355.8041""","=""0.0003""","=""32""","=""""",,"=""2.942226138""","=""4.13914169""","=""5f.(2F*).6d2.(3F)""","=""*""","=""9/2""","=""5f2.(3F).7s""","=""""","=""9/2""",,"=""""","=""L5951""",
Th,2,"=""10356.3715""","=""0.0009""","=""10356.3715""","=""0.0003""","=""58""","=""""",,"=""1.957336792""","=""3.15418677""","=""6d3""","=""4P""","=""5/2""","=""5f.(2F*).6d2.(3P)""","=""*""","=""5/2""",,"=""""","=""L5951""",
Cr,1,"=""10357.545""","=""0.010""","=""10357.5484""","=""0.0016""","=""4""","=""""",,"=""4.41047990""","=""5.60719388""","=""3d6""","=""c 5D""","=""2""","=""3d4.(3F1).4s.4p.(3P*)""","=""x 5F*""","=""2""",,"=""""","=""L14866""",
Cu,2,"=""10357.603""","=""0.010""","=""10357.586""","=""0.003""","=""780""","=""4.8e+06""",D+,"=""16.9166293""","=""18.11333896""","=""3d8.(3F).4s.4p.(1P*)""","=""3F*""","=""3""","=""3d9.(2D<5/2>).5g""","=""2[7/2]""","=""3""",,"=""T9697""","=""L869c171""",
Th,1,"=""10357.612""","=""0.003""","=""10357.60771""","=""0.00013""","=""360""","=""""",,"=""2.745209091""","=""3.941916225""","=""""","=""*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L3552""",
Th,1,"=""10357.830""","=""0.003""","=""10357.8269""","=""0.0003""","=""0""","=""""",,"=""3.30360932""","=""4.50029113""","=""""","=""*""","=""5""","=""""","=""""","=""4""",,"=""""","=""L2351""",
Th,1,"=""10358.1672""","=""0.0003""","=""10358.16732""","=""0.00008""","=""330""","=""""",,"=""1.438344449""","=""2.634986930""","=""6d3.(4P).7s""","=""5P""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
Th,2,"=""10360.0012""","=""0.0006""","=""10360.00082""","=""0.00021""","=""95""","=""""",,"=""1.165571101""","=""2.362001803""","=""6d3""","=""4F""","=""5/2""","=""5f.(2F*).6d2.(3F)""","=""*""","=""3/2""",,"=""""","=""L5951""",
Kr,1,"=""10360.37""","=""0.10""","=""10360.34+""","=""0.11""","=""100""","=""""",,"=""12.2579989""","=""13.454391""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).5f""","=""2[7/2]""","=""3""",,"=""""","=""L6099""",
Fe,2,"=""10360.394""","=""0.005""","=""10360.3867""","=""0.0010""","=""0.7""","=""""",,"=""12.8767266""","=""14.0731127""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""5/2""","=""3d6.(5D<3>).5g""","=""2[2]""","=""5/2""",,"=""""","=""L18349c139""",
Fe,1,"=""10360.580""","=""0.009""","=""10360.5778""","=""0.0015""","=""17""","=""""",,"=""5.51876133""","=""6.71512541""","=""3d7.(4P).4p""","=""y 5S*""","=""2""","=""3d7.(4F).4d""","=""f 5G""","=""3""",,"=""""","=""L11631""",
Kr,2,"=""10361.15""","=""0.10""","=""10361.22+""","=""0.11""","=""100""","=""""",,"=""16.181516""","=""17.3778065""","=""4s2.4p4.(3P).4d""","=""4F""","=""3/2""","=""4s2.4p4.(3P).5p""","=""4D*""","=""1/2""",,"=""""","=""L7386""",
Hf,1,"=""10361.40""","=""0.05""","=""10361.442""","=""0.024""","=""73""","=""""",,"=""4.7472813""","=""5.943546""","=""5d3.(2D).6s""","=""c 1D""","=""2""","=""""","=""4794*""","=""2""",,"=""""","=""L16323""",
Fe,2,"=""10361.516""","=""0.007""","=""10361.5163""","=""0.0013""","=""0.7""","=""9.e+03""",D,"=""11.7491416""","=""12.9453973""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""7/2""","=""3d6.(5D).5d""","=""6D""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""10362.703""","=""0.003""","=""10362.7042""","=""0.0015""","=""93""","=""""",,"=""5.47807170""","=""6.67419029""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""2""","=""3d7.(4F).4d""","=""g 5F""","=""3""",,"=""""","=""L11631""",
Th,1,"=""10362.9589""","=""0.0006""","=""10362.95906""","=""0.00017""","=""85""","=""""",,"=""2.714030537""","=""3.910119702""","=""""","=""*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L5951""",
Fe,1,"=""10364.061""","=""0.003""","=""10364.0621""","=""0.0015""","=""123""","=""""",,"=""5.44571679""","=""6.64167865""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""3""","=""3d7.(4F).4d""","=""f 5P""","=""2""",,"=""""","=""L11631""",
Sb,1,"=""10364.165""","=""0.010""","=""10364.157""","=""0.010""","=""50""","=""""",,"=""6.8480146""","=""8.0439656""","=""5p2.(1D).6s""","=""2D""","=""3/2""","=""5p2.(1D<2>).6p""","=""(2,3/2)*""","=""5/2""",,"=""""","=""L10083""",
Ti,2,"=""10364.592""","=""0.002""","=""10364.5918""","=""0.0012""","=""97""","=""""",,"=""7.70938719""","=""8.90528793""","=""3d2.(3F).5s""","=""e 4F""","=""3/2""","=""3d2.(3F).5p""","=""4F*""","=""5/2""",,"=""""","=""u37""",
Fe,1,"=""10365.169""","=""0.009""","=""10365.1635""","=""0.0024""","=""12""","=""""",,"=""5.58689276""","=""6.78272754""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""","=""3d7.(4F).5p""","=""3F*""","=""2""",,"=""""","=""L11631""",
Ar,2,"=""10365.96""","=""0.03""","=""10365.9904""","=""0.0004""","=""0h""","=""""",,"=""23.619908872""","=""24.81564826""","=""3s2.3p4.(3P).5p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5d""","=""4D""","=""3/2""",,"=""""","=""L14821""",
Fe,2,"=""10366.174""","=""0.003""","=""10366.1673""","=""0.0010""","=""8""","=""8.e+04""",D+,"=""6.72393597""","=""7.9196550""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d6.(3F2).4p""","=""y 4G*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
Th,1,"=""10369.52549""","=""0.00020""","=""10369.52549""","=""0.00009""","=""610""","=""""",,"=""1.731131837""","=""2.926463589""","=""6d3.(2D2).7s""","=""""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
Ar,2,"=""10370.08""","=""0.03""","=""10370.1351""","=""0.0004""","=""0.5""","=""""",,"=""23.620386781""","=""24.81564826""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).5d""","=""4D""","=""3/2""",,"=""""","=""L14821""",
Ba,1,"=""10370.281""","=""0.010""","=""10370.276+""","=""0.015""","=""4""","=""1.3e+06""",C,"=""3.1869035""","=""4.3821487""","=""5d.6p""","=""3P*""","=""1""","=""6p2""","=""3P""","=""2""",,"=""T5429""","=""L9224""",
La,3,"=""10370.34""","=""0.10""","=""""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L245""",
Fe,1,"=""10370.877""","=""0.009""","=""10370.8753""","=""0.0024""","=""16""","=""""",,"=""5.49069652""","=""6.68587270""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""2""","=""3d7.(4F).4d""","=""f 5P""","=""1""",,"=""""","=""L11631""",
Si,1,"=""10371.269""","=""0.010""","=""10371.264""","=""0.010""","=""30""","=""4.01e+06""",C+,"=""4.9296471""","=""6.1247785""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.4p""","=""3S""","=""1""",,"=""T8363c22""","=""L3521""",
Hf,1,"=""10371.35""","=""0.05""","=""""","=""""","=""2000ql""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L21571c196""",
Fe,1,"=""10371.687""","=""0.009""","=""10371.6865""","=""0.0015""","=""8""","=""""",,"=""3.63977237""","=""4.83485507""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d7.(4F).4p""","=""y 3D*""","=""1""",,"=""""","=""L11631""",
Th,2,"=""10373.460""","=""0.003""","=""10373.4584""","=""0.0003""","=""0""","=""""",,"=""1.88910239""","=""3.083980951""","=""6d3""","=""4P""","=""3/2""","=""6d.7s.(3D).7p""","=""*""","=""5/2""",,"=""""","=""L2351""",
Kr,1,"=""10374.44""","=""0.10""","=""10374.431+""","=""0.015""","=""10""","=""""",,"=""12.2579989""","=""13.4527655""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""",,"=""""","=""L6099""",
Fe,2,"=""10374.947""","=""0.004""","=""10374.9468""","=""0.0008""","=""1.1""","=""""",,"=""12.1646572""","=""13.3593643""","=""3d6.(3P2).5s""","=""4P""","=""3/2""","=""3d6.(5D).6p""","=""4D*""","=""1/2""",,"=""""","=""L18349c139""",
I,1,"=""10375.19""","=""0.04""","=""10375.216""","=""0.008""","=""410""","=""""",,"=""8.3970053""","=""9.5916814""","=""5s2.5p4.(3P<2>).5d""","=""2[4]""","=""9/2""","=""5s2.5p4.(3P<2>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L13998""",
Th,1,"=""10376.0138""","=""0.0006""","=""10376.01342""","=""0.00017""","=""91""","=""""",,"=""2.715535366""","=""3.910119702""","=""5f.6d2.7s""","=""3H*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L5951""",
Th,1,"=""10376.8102""","=""0.0012""","=""10376.81026""","=""0.00011""","=""35""","=""""",,"=""2.506331889""","=""3.700824493""","=""6d2.7s.7p""","=""5D*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L5951""",
Th,1,"=""10377.4879""","=""0.0005""","=""10377.48774""","=""0.00010""","=""130""","=""""",,"=""1.716904709""","=""2.911319332""","=""6d3.(4F).7s""","=""3F""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L5951""",
Br,1,"=""10377.65""","=""0.03""","=""10377.66+""","=""0.15""","=""1500""","=""""",,"=""9.258188""","=""10.452582""","=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""5/2""","=""4s2.4p4.(3P<1>).4d""","=""2[2]""","=""5/2""",,"=""""","=""L351""",
Hf,1,"=""10377.83""","=""0.05""","=""""","=""""","=""74""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
Th,1,"=""10378.1414""","=""0.0005""","=""10378.14101""","=""0.00008""","=""110""","=""""",,"=""2.158716703""","=""3.353056141""","=""6d.7s2.7p""","=""3D*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L5951""",
Th,1,"=""10378.8189""","=""0.0015""","=""10378.8189""","=""0.0005""","=""54""","=""""",,"=""2.302958156""","=""3.49721958""","=""6d3.(2P).7s""","=""""","=""1""","=""""","=""*""","=""0""",,"=""""","=""L14361""",
Fe,1,"=""10379.001""","=""0.003""","=""10378.9989""","=""0.0015""","=""126""","=""""",,"=""2.22271209""","=""3.41695281""","=""3d7.(4P).4s""","=""a 5P""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""10379.0014""","=""0.0005""","=""10379.0021""","=""0.0020""","=""35bl(Fe I)""","=""""",,"=""9.7423390""","=""10.9365793""","=""3d5.4s2""","=""2G2""","=""9/2""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""7/2""",,"=""""","=""L18349c148""",
Cs,2,"=""10379.6610""","=""0.0013""","=""10379.6590""","=""0.0015""","=""270000""","=""""",,"=""19.40630062""","=""20.60046539""","=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""4""",,"=""""","=""L12126""",
Fe,2,"=""10379.861""","=""0.005""","=""10379.8696""","=""0.0009""","=""0.8""","=""""",,"=""12.8224715""","=""14.0166120""","=""3d6.(5D<3>).4f""","=""2[6]*""","=""11/2""","=""3d6.(5D<4>).5g""","=""2[7]""","=""13/2""",,"=""""","=""L18349c139""",
Cu,2,"=""10380.323""","=""0.021""","=""10380.297""","=""0.003""","=""130*""","=""""",,"=""16.9166293""","=""18.11072068""","=""3d8.(3F).4s.4p.(1P*)""","=""3F*""","=""3""","=""3d9.(2D<5/2>).5g""","=""2[5/2]""","=""2""",,"=""""","=""L869c171,c172""",
Cu,2,"=""10380.323""","=""0.021""","=""10380.340""","=""0.003""","=""130*""","=""""",,"=""16.9166293""","=""18.11071578""","=""3d8.(3F).4s.4p.(1P*)""","=""3F*""","=""3""","=""3d9.(2D<5/2>).5g""","=""2[5/2]""","=""3""",,"=""""","=""L869c171""",
Hf,1,"=""10380.72""","=""0.05""","=""""","=""""","=""36000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L21571c196""",
F,1,"=""10380.84""","=""0.05""","=""10380.85+""","=""0.15""","=""70""","=""1.02e+07""",C+,"=""14.764264""","=""15.958291""","=""2s2.2p4.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p4.(3P).3d""","=""2P""","=""3/2""",,"=""T7043""","=""L7481""",
Fe,2,"=""10381.1009""","=""0.0011""","=""10381.1037""","=""0.0011""","=""4""","=""""",,"=""12.8225962""","=""14.0165948""","=""3d6.(5D<3>).4f""","=""2[6]*""","=""13/2""","=""3d6.(5D<4>).5g""","=""2[7]""","=""15/2""",,"=""""","=""L18349c139""",
Ge,1,"=""10382.420""","=""0.005""","=""10382.4273""","=""0.0010""","=""10""","=""""",,"=""4.96191710""","=""6.15576347""","=""4s2.4p.5s""","=""1P*""","=""1""","=""4s2.4p.5p""","=""1D""","=""2""",,"=""""","=""L3476""",
Ar,2,"=""10383.900""","=""0.020""","=""10383.8907""","=""0.0003""","=""1""","=""""",,"=""23.620386781""","=""24.814064898""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""","=""3s2.3p4.(1D).4d""","=""2F""","=""7/2""",,"=""""","=""L14821""",
Th,1,"=""10386.2673""","=""0.0011""","=""10386.26714""","=""0.00019""","=""38""","=""""",,"=""2.421710998""","=""3.615115998""","=""6d3.(2F).7s""","=""3F""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Se,1,"=""10386.36""","=""0.10""","=""""","=""""","=""640""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2647""",
Fe,2,"=""10387.4827""","=""0.0011""","=""10387.4655""","=""0.0010""","=""2.7bl(Fe I)""","=""""",,"=""12.8224715""","=""14.0157388""","=""3d6.(5D<3>).4f""","=""2[6]*""","=""11/2""","=""3d6.(5D<4>).5g""","=""2[5]""","=""9/2""",,"=""""","=""L18349c148""",
Fe,1,"=""10387.483""","=""0.022""","=""10387.4828""","=""0.0015""","=""28bl""","=""""",,"=""5.53924278""","=""6.73250811""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""","=""3d6.(3D).4s.4p.(3P*)""","=""5D*""","=""4""",,"=""""","=""L11631""",
Th,1,"=""10387.4955""","=""0.0005""","=""10387.49527""","=""0.00010""","=""110""","=""""",,"=""2.128325734""","=""3.321589636""","=""6d3.(2H).7s""","=""3H""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L5951""",
Hf,1,"=""10388.15""","=""0.22""","=""10388.099""","=""0.015""","=""660""","=""""",,"=""3.5370210""","=""4.7302155""","=""5d3.(b 4P).6s""","=""b 3P""","=""1""","=""5d2.(b 1D).6s.(b 2D).6p""","=""x 3P*""","=""1""",,"=""""","=""L21571c196""",
Hf,1,"=""10388.31""","=""0.05""","=""10388.316""","=""0.011""","=""300""","=""""",,"=""1.7379890""","=""2.9311587""","=""5d.6s2.(a 2D).6p""","=""z 3D*""","=""1""","=""5d3.(c 2D).6s""","=""a 3D""","=""1""",,"=""""","=""L16323""",
Fe,1,"=""10388.744""","=""0.003""","=""10388.7446""","=""0.0015""","=""55""","=""""",,"=""5.44571679""","=""6.63883718""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""3""","=""3d7.(4F).4d""","=""h 5D""","=""3""",,"=""""","=""L11631""",
Hf,1,"=""10389.01""","=""0.05""","=""""","=""""","=""37""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
Kr,2,"=""10389.28""","=""0.10""","=""10389.28+""","=""0.11""","=""8h""","=""""",,"=""16.181516""","=""17.3745746""","=""4s2.4p4.(3P).4d""","=""4F""","=""3/2""","=""4s2.4p4.(3P).5p""","=""2P*""","=""3/2""",,"=""""","=""L8549""",
Ti,1,"=""10390.740""","=""0.013""","=""10390.743""","=""0.004""","=""5""","=""""",,"=""1.5024892""","=""2.6953801""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""5""",,"=""""","=""L10989""",
Th,2,"=""10391.350""","=""0.003""","=""10391.3536""","=""0.0003""","=""0""","=""""",,"=""1.548027489""","=""2.74084833""","=""5f.(2F*).6d2.(3F)""","=""*""","=""7/2""","=""6d3""","=""2F""","=""5/2""",,"=""""","=""L2351""",
I,1,"=""10391.73""","=""0.04""","=""10391.724""","=""0.008""","=""750""","=""""",,"=""7.8341595""","=""9.0269379""","=""5s2.5p4.(3P<1>).6s""","=""2[1]""","=""1/2""","=""5s2.5p4.(3P<1>).6p""","=""2[2]*""","=""3/2""",,"=""""","=""L13998""",
Mg,2,"=""10391.761""","=""0.010""","=""10391.76""","=""0.10""","=""5""","=""1.06e+06""",A,"=""11.629672""","=""12.822446""","=""2p6.4f""","=""2F*""","=""5/2""","=""2p6.5d""","=""2D""","=""3/2""",,"=""c31""","=""L7414""",
Cr,1,"=""10391.951""","=""0.003""","=""10391.9508""","=""0.0010""","=""22""","=""""",,"=""3.00997115""","=""4.20272344""","=""3d5.(4D).4s""","=""b 5D""","=""0""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""",,"=""""","=""L14866""",
Th,1,"=""10392.0339""","=""0.0011""","=""10392.03384""","=""0.00012""","=""40""","=""""",,"=""2.506331889""","=""3.699074652""","=""6d2.7s.7p""","=""5D*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L5951""",
Mg,2,"=""10392.231""","=""0.010""","=""10392.22""","=""0.10""","=""6""","=""1.00e+06""",A,"=""11.629687""","=""12.822409""","=""2p6.4f""","=""2F*""","=""7/2""","=""2p6.5d""","=""2D""","=""5/2""",,"=""c31""","=""L7414""",
Cl,1,"=""10392.549""","=""0.010""","=""""","=""""","=""331""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
Ar,2,"=""10392.6187""","=""0.0003""","=""10392.6182""","=""0.0006""","=""87""","=""""",,"=""23.11937815""","=""24.31205385""","=""3s2.3p4.(3P).4d""","=""4P""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
